src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
192.168.4.8,ec:9b:8b:02:24:38,ec:9b:8b,47065,152.70.69.232,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,
192.168.4.8,ec:9b:8b:02:24:38,ec:9b:8b,47065,152.70.69.232,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,36424,108.159.61.5,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,57,3,198,1.6987E+12,1.6987E+12,57,2,132,1.6987E+12,1.6987E+12,0,1,66,TLS,Web,1,1,,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,36424,108.159.61.5,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,57,3,210,1.6987E+12,1.6987E+12,57,2,140,1.6987E+12,1.6987E+12,0,1,70,TLS,Web,1,1,,,,,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,45709,208.67.220.220,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,172,2,276,1.6987E+12,1.6987E+12,0,1,82,1.6987E+12,1.6987E+12,0,1,194,DNS,Network,0,6,2.ciscome.pool.ntp.org,,,,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,45709,208.67.220.220,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,172,2,284,1.6987E+12,1.6987E+12,0,1,86,1.6987E+12,1.6987E+12,0,1,198,DNS,Network,0,6,2.ciscome.pool.ntp.org,,,,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,43513,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,0,2,208,1.6987E+12,1.6987E+12,0,1,72,1.6987E+12,1.6987E+12,0,1,136,DNS,Network,0,6,pool.ntp.org,,,,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,43513,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,0,2,216,1.6987E+12,1.6987E+12,0,1,76,1.6987E+12,1.6987E+12,0,1,140,DNS,Network,0,6,pool.ntp.org,,,,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,41204,152.70.69.232,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,41204,152.70.69.232,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,49984,208.67.220.220,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,299,2,228,1.6987E+12,1.6987E+12,0,1,82,1.6987E+12,1.6987E+12,0,1,146,DNS,Network,0,6,2.ciscome.pool.ntp.org,,,,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,49984,208.67.220.220,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,299,2,236,1.6987E+12,1.6987E+12,0,1,86,1.6987E+12,1.6987E+12,0,1,150,DNS,Network,0,6,2.ciscome.pool.ntp.org,,,,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,60719,129.154.46.154,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,4003,3,270,1.6987E+12,1.6987E+12,4003,3,270,0,0,0,0,0,NTP,System,0,6,,,,,
